"","ogrid_cde","n_wells_FALSE","n_wells_TRUE","plug_cost_FALSE","plug_cost_TRUE","sum_individual_bonds_FALSE","sum_individual_bonds_TRUE","active_bond","temp_abandon_bond","bond","hypothetical_perfoot_bond","total_plugcost","uses_active_blanket","uses_tempabandon_blanket","n_temp_abandon_group","active_bond_group","active_triple","temp_abandon_bond_double","bond_2","plug_cost_lowprod"
"293","331180",7,0,740833.587665439,0,298472.264610906,0,50000,0,50000,298472.264610906,740833.587665439,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,83665.5876654387
"294","331199",360,39,26911525.5876654,3272820,13485254.2646109,1520470,250000,1e+06,1250000,15005724.2646109,30184345.5876654,TRUE,TRUE,"more than 25","more than 100",750000,2e+06,2270470,5836777.58766544
"295","331241",6,0,356400,0,209400,0,50000,0,50000,209400,356400,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,356400
"296","331286",2,0,104208,0,67368,0,50000,0,50000,67368,104208,TRUE,TRUE,"zero","between 1 and 10",150000,0,67368,NA
"297","331290",1,0,46200,0,32700,0,50000,0,32700,32700,46200,FALSE,TRUE,"zero","between 1 and 10",150000,0,32700,NA
"298","331357",17,0,1217804.6396507,0,627967.439941784,0,75000,0,75000,627967.439941784,1217804.6396507,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,1217804.6396507
"299","331445",0,1,0,83665.5876654387,0,38944.2646109064,0,150000,38944.2646109064,38944.2646109064,83665.5876654387,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,38944.2646109064,83665.5876654387
"300","331451",12,0,1538064,0,556344,0,75000,0,75000,556344,1538064,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,373440
"301","331515",15,0,833184,0,513864,0,75000,0,75000,513864,833184,TRUE,TRUE,"zero","between 11 and 50",225000,0,225000,361080
"302","331536",2,1,162624,45864,77104,32644,50000,150000,82644,109748,208488,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,109748,45864
"303","34703",0,2,0,269520,0,94920,0,150000,94920,94920,269520,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,94920,269520
"304","36472",2,1,93060,45600,65510,32600,50000,150000,82600,98110,138660,TRUE,FALSE,"between 1 and 5","between 1 and 10",150000,3e+05,98110,45600
"305","36712",1,0,55560,0,34260,0,50000,0,34260,34260,55560,FALSE,TRUE,"zero","between 1 and 10",150000,0,34260,55560
"306","3675",1,0,140100,0,48350,0,50000,0,48350,48350,140100,FALSE,TRUE,"zero","between 1 and 10",150000,0,48350,140100
"307","36845",3,0,160296,0,101716,0,50000,0,50000,101716,160296,TRUE,TRUE,"zero","between 1 and 10",150000,0,101716,NA
"308","370080",104,12,6671608.76299632,768480,3711934.79383272,428080,250000,5e+05,678080,4140014.79383272,7440088.76299632,TRUE,FALSE,"between 11 and 25","more than 100",750000,1e+06,1178080,2599944
"309","370364",3,0,290160,0,123360,0,50000,0,50000,123360,290160,TRUE,TRUE,"zero","between 1 and 10",150000,0,123360,93960
"310","370507",0,1,0,151320,0,50220,0,150000,50220,50220,151320,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,50220,151320
"311","370661",0,1,0,105600,0,42600,0,150000,42600,42600,105600,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,42600,105600
"312","370740",19,1,2462520,143556,885420,48926,75000,150000,123926,934346,2606076,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,273926,474912
"313","370767",0,2,0,97068,0,66178,0,150000,66178,66178,97068,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,66178,97068
"314","370841",0,1,0,124680,0,45780,0,150000,45780,45780,124680,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,45780,124680
"315","370922",81,42,3180096,3367584,2555016,1611264,125000,1e+06,1125000,4166280,6547680,TRUE,TRUE,"more than 25","between 51 and 100",375000,2e+06,1986264,6499608
"316","371029",8,0,680064,0,313344,0,50000,0,50000,313344,680064,TRUE,TRUE,"zero","between 1 and 10",150000,0,150000,NA
"317","371067",0,2,0,43500,0,57250,0,150000,57250,57250,43500,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,57250,43500
"318","371127",0,1,0,58800,0,34800,0,150000,34800,34800,58800,TRUE,FALSE,"between 1 and 5","zero",0,3e+05,34800,58800
"319","371293",3,0,250996.762996316,0,116832.793832719,0,50000,0,50000,116832.793832719,250996.762996316,TRUE,TRUE,"zero","between 1 and 10",150000,0,116832.793832719,NA
"320","371416",125,5,6213961.58766544,240180,4160660.26461091,165030,250000,150000,4e+05,4325690.26461091,6454141.58766544,TRUE,TRUE,"between 1 and 5","more than 100",750000,3e+05,915030,1129056
"321","371449",44,4,5605915.05198526,576036,2034319.17533088,196006,75000,150000,225000,2230325.17533088,6181951.05198526,TRUE,TRUE,"between 1 and 5","between 11 and 50",225000,3e+05,421006,711948
"322","371452",1,0,45600,0,32600,0,50000,0,32600,32600,45600,FALSE,TRUE,"zero","between 1 and 10",150000,0,32600,NA
"323","371484",144,22,5702556,944328,4550426,707388,250000,5e+05,750000,5257814,6646884,TRUE,TRUE,"between 11 and 25","more than 100",750000,1e+06,1457388,5592768
"324","371553",0,8,0,1083204,0,380534,0,3e+05,3e+05,380534,1083204,TRUE,TRUE,"between 6 and 10","zero",0,6e+05,380534,1083204
"325","371618",21,3,562632,65640,618772,85940,75000,150000,160940,704712,628272,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,310940,95100
"326","371666",0,30,0,1064700,0,927450,0,1e+06,927450,927450,1064700,TRUE,FALSE,"more than 25","zero",0,2e+06,927450,1064700
"327","371682",24,3,3396612,370584,1166102,136764,75000,150000,211764,1302866,3767196,TRUE,FALSE,"between 1 and 5","between 11 and 50",225000,3e+05,361764,370584
